"docket","court","nos","jur_fq","jur_div","jur_supp","remove","counterclaim","cfaa","patent","copyright","lanham","antitrust","rico","otherfed","statets","contract","fiduciary","goodfaith","unfaircomp","conversion","interfere","unjenrich","fraud","statecomp","conspiracy","otherstate","technical","customer","businfo","software","formula","negativets","employee","buspartner","otherdef","foreigndef","country","acquire","disclose","use","hacking","nda","noncompete","tro","pi","exparte"
"1:16-CV-01811","GAND",190,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,"",1,1,1,0,1,1,2,5,1
"1:16-CV-01865","COD",890,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,"",1,1,1,0,1,0,1,1,1
"1:16-CV-01961","COD",190,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"",1,0,1,0,0,1,2,3,1
"1:16-CV-02039","PAMD",890,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,"",0,0,1,0,0,0,1,1,1
"1:16-CV-02052","COD",190,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,"",0,0,1,0,1,0,1,1,1
"1:16-CV-02302","INSD",190,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"",1,1,1,0,1,1,1,1,1
"1:16-CV-02315","COD",890,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,"",0,1,1,0,1,1,1,5,1
"1:16-CV-02319","COD",820,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"",1,0,1,0,0,0,1,1,1
"1:16-CV-02412","GAND",820,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,"Canada",0,1,1,0,0,0,1,5,1
"1:16-CV-02437","COD",470,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,"",1,1,1,0,0,1,1,1,1
"1:16-CV-02473","COD",190,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,"",1,1,1,0,1,1,2,3,1
"1:16-CV-02535","INSD",890,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,"",1,0,1,0,1,0,1,2,1
"1:16-CV-02905","OHND",890,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"",1,0,1,0,0,0,1,1,1
"1:16-CV-03094","COD",190,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,"",1,1,1,0,1,1,1,5,1
"1:16-CV-03272","GAND",840,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",0,1,1,0,0,0,1,1,1
"1:16-CV-03545","ILND",830,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,"",1,1,1,0,0,0,1,1,1
"1:16-CV-03557","GAND",190,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,"",1,1,1,0,1,0,2,2,1
"1:16-CV-03975","NYED",190,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,"",1,1,1,0,1,1,3,5,1
"1:16-CV-04056","ILND",890,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"",0,1,1,0,1,0,1,1,1
"1:16-CV-04114","GAND",840,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,"",1,1,1,0,1,1,1,1,1
"1:16-CV-04524","NJD",190,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,"",1,1,1,0,1,0,1,1,1
"1:16-CV-04969","NYED",190,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"",0,0,1,0,1,1,3,3,1
